FLU+BU{1.010657}, partition_0 = 1-170
FLU+BU{1.894570}, partition_1 = 171-342
FLU+BU{0.876110}, partition_2 = 343-462
FLU+BU{2.293436}, partition_3 = 463-551
FLU+BU{0.158873}, partition_4 = 552-994
FLU+BU{2.683357}, partition_5 = 995-1139
FLU+BU{1.232812}, partition_6 = 1140-1485
FLU+BU{1.304274}, partition_7 = 1486-2285
FLU+BU{0.693731}, partition_8 = 2286-2412
FLU+BU{0.959516}, partition_9 = 2413-2542
FLU+BU{0.593753}, partition_10 = 2543-2665
FLU+BU{0.826319}, partition_11 = 2666-3089
FLU+BU{0.539474}, partition_12 = 3090-3303
FLU+BU{1.258541}, partition_13 = 3304-3798
FLU+BU{1.854456}, partition_14 = 3799-4114
FLU+BU{0.063599}, partition_15 = 4115-4787
FLU+BU{0.905672}, partition_16 = 4788-4902
FLU+BU{0.496653}, partition_17 = 4903-5087
FLU+BU{1.601286}, partition_18 = 5088-5280
FLU+BU{0.872657}, partition_19 = 5281-5385
FLU+BU{0.924849}, partition_20 = 5386-5465
FLU+BU{1.097319}, partition_21 = 5466-5790
FLU+BU{2.274052}, partition_22 = 5791-5929
FLU+BU{1.052155}, partition_23 = 5930-6283
FLU+BU{0.893098}, partition_24 = 6284-6466
FLU+BU{0.945104}, partition_25 = 6467-6531
FLU+BU{0.178550}, partition_26 = 6532-6924
FLU+BU{1.599857}, partition_27 = 6925-7026
FLU+BU{1.167361}, partition_28 = 7027-7347
FLU+BU{2.584840}, partition_29 = 7348-7493
FLU+BU{0.835660}, partition_30 = 7494-8546
