LG+BU{0.236387}, partition_0 = 1-525
LG+BU{0.254039}, partition_1 = 526-1031
LG+BU{0.783516}, partition_2 = 1032-1391
LG+BU{1.348242}, partition_3 = 1392-1659
LG+BU{0.308269}, partition_4 = 1660-1770
LG+BU{0.402661}, partition_5 = 1771-1955
LG+BU{1.100147}, partition_6 = 1956-2176
LG+BU{0.140430}, partition_7 = 2177-2436
LG+BU{0.523576}, partition_8 = 2437-2633
LG+BU{0.722890}, partition_9 = 2634-2802
LG+BU{0.451003}, partition_10 = 2803-3320
LG+BU{0.562031}, partition_11 = 3321-3440
LG+BU{0.454597}, partition_12 = 3441-3713
LG+BU{0.360997}, partition_13 = 3714-3830
LG+BU{0.100459}, partition_14 = 3831-4002
LG+BU{0.430063}, partition_15 = 4003-4205
LG+BU{0.465582}, partition_16 = 4206-4489
LG+BU{0.658994}, partition_17 = 4490-4817
LG+BU{0.249136}, partition_18 = 4818-5333
LG+BU{0.207422}, partition_19 = 5334-5538
LG+BU{0.687340}, partition_20 = 5539-5759
LG+BU{0.423426}, partition_21 = 5760-6201
LG+BU{0.773132}, partition_22 = 6202-6329
LG+BU{0.552246}, partition_23 = 6330-6485
LG+BU{0.858101}, partition_24 = 6486-6912
LG+BU{0.188202}, partition_25 = 6913-7233
LG+BU{0.370001}, partition_26 = 7234-7631
LG+BU{0.387116}, partition_27 = 7632-7732
LG+BU{1.201010}, partition_28 = 7733-7997
LG+BU{0.266263}, partition_29 = 7998-8098
LG+BU{0.372431}, partition_30 = 8099-8200
LG+BU{1.703048}, partition_31 = 8201-8664
LG+BU{0.492352}, partition_32 = 8665-8796
LG+BU{0.540639}, partition_33 = 8797-8912
LG+BU{0.833365}, partition_34 = 8913-9103
LG+BU{1.515687}, partition_35 = 9104-9329
LG+BU{0.847246}, partition_36 = 9330-9459
LG+BU{0.047725}, partition_37 = 9460-9635
LG+BU{0.131748}, partition_38 = 9636-9765
LG+BU{0.581225}, partition_39 = 9766-10053
LG+BU{0.761398}, partition_40 = 10054-10272
LG+BU{0.602296}, partition_41 = 10273-10432
LG+BU{0.179703}, partition_42 = 10433-10811
LG+BU{0.409346}, partition_43 = 10812-10968
LG+BU{1.191104}, partition_44 = 10969-11301
LG+BU{1.002295}, partition_45 = 11302-11725
LG+BU{0.304290}, partition_46 = 11726-11981
LG+BU{0.763129}, partition_47 = 11982-12128
LG+BU{0.632154}, partition_48 = 12129-12351
LG+BU{0.823306}, partition_49 = 12352-12536
LG+BU{0.504883}, partition_50 = 12537-12981
LG+BU{2.445577}, partition_51 = 12982-13271
LG+BU{1.616707}, partition_52 = 13272-13453
LG+BU{2.762540}, partition_53 = 13454-13660
LG+BU{1.048799}, partition_54 = 13661-13850
LG+BU{0.403663}, partition_55 = 13851-14299
LG+BU{1.094194}, partition_56 = 14300-14419
LG+BU{0.928466}, partition_57 = 14420-14571
LG+BU{0.528460}, partition_58 = 14572-14754
LG+BU{0.403946}, partition_59 = 14755-15139
LG+BU{1.354077}, partition_60 = 15140-15305
LG+BU{0.566089}, partition_61 = 15306-15458
LG+BU{1.475127}, partition_62 = 15459-15644
LG+BU{0.758132}, partition_63 = 15645-15812
LG+BU{0.835283}, partition_64 = 15813-15987
LG+BU{0.792766}, partition_65 = 15988-16086
LG+BU{0.310858}, partition_66 = 16087-16239
LG+BU{0.474172}, partition_67 = 16240-16442
LG+BU{1.113248}, partition_68 = 16443-16617
LG+BU{0.571524}, partition_69 = 16618-17011
LG+BU{0.829885}, partition_70 = 17012-17212
LG+BU{0.890860}, partition_71 = 17213-17376
LG+BU{0.894316}, partition_72 = 17377-17584
LG+BU{0.573518}, partition_73 = 17585-17821
LG+BU{1.148774}, partition_74 = 17822-18020
LG+BU{1.056306}, partition_75 = 18021-18189
LG+BU{3.234043}, partition_76 = 18190-18351
LG+BU{0.732430}, partition_77 = 18352-18458
LG+BU{0.398892}, partition_78 = 18459-18565
LG+BU{1.664113}, partition_79 = 18566-18761
LG+BU{0.724460}, partition_80 = 18762-18918
LG+BU{0.535321}, partition_81 = 18919-19037
LG+BU{1.102632}, partition_82 = 19038-19206
LG+BU{0.812079}, partition_83 = 19207-19398
LG+BU{1.572470}, partition_84 = 19399-19543
LG+BU{0.890950}, partition_85 = 19544-19708
LG+BU{1.329505}, partition_86 = 19709-19842
LG+BU{1.521020}, partition_87 = 19843-19982
LG+BU{1.381269}, partition_88 = 19983-20110
LG+BU{0.918971}, partition_89 = 20111-20463
LG+BU{0.354667}, partition_90 = 20464-20777
LG+BU{2.033773}, partition_91 = 20778-20872
LG+BU{0.320298}, partition_92 = 20873-20983
LG+BU{0.646344}, partition_93 = 20984-21161
LG+BU{0.310816}, partition_94 = 21162-21307
LG+BU{1.419367}, partition_95 = 21308-21434
LG+BU{1.646060}, partition_96 = 21435-21570
LG+BU{0.174286}, partition_97 = 21571-21907
LG+BU{0.316788}, partition_98 = 21908-22095
LG+BU{0.987518}, partition_99 = 22096-22198
LG+BU{1.167553}, partition_100 = 22199-22441
LG+BU{2.310250}, partition_101 = 22442-22626
LG+BU{0.507940}, partition_102 = 22627-22780
LG+BU{1.395837}, partition_103 = 22781-22969
LG+BU{0.402579}, partition_104 = 22970-23110
LG+BU{1.157007}, partition_105 = 23111-23208
LG+BU{1.528213}, partition_106 = 23209-23328
LG+BU{1.668630}, partition_107 = 23329-23434
LG+BU{1.965999}, partition_108 = 23435-23578
LG+BU{0.693294}, partition_109 = 23579-23678
LG+BU{0.477128}, partition_110 = 23679-24013
LG+BU{1.944756}, partition_111 = 24014-24195
LG+BU{0.124002}, partition_112 = 24196-24360
LG+BU{0.294384}, partition_113 = 24361-24462
LG+BU{3.512439}, partition_114 = 24463-24605
LG+BU{0.066683}, partition_115 = 24606-24716
LG+BU{3.259738}, partition_116 = 24717-24829
LG+BU{0.789690}, partition_117 = 24830-24957
LG+BU{0.210107}, partition_118 = 24958-26037
LG+BU{4.571372}, partition_119 = 26038-26127
LG+BU{4.878998}, partition_120 = 26128-26340
LG+BU{2.138958}, partition_121 = 26341-26572
LG+BU{1.103590}, partition_122 = 26573-26801
LG+BU{0.356995}, partition_123 = 26802-27134
LG+BU{2.144769}, partition_124 = 27135-27264
LG+BU{1.280238}, partition_125 = 27265-27598
LG+BU{1.216402}, partition_126 = 27599-27960
LG+BU{2.550726}, partition_127 = 27961-28053
LG+BU{1.325712}, partition_128 = 28054-28225
LG+BU{0.603434}, partition_129 = 28226-28379
LG+BU{2.249290}, partition_130 = 28380-28501
LG+BU{1.661973}, partition_131 = 28502-28618
LG+BU{1.429983}, partition_132 = 28619-28764
LG+BU{2.548242}, partition_133 = 28765-28872
LG+BU{1.789220}, partition_134 = 28873-28977
LG+BU{0.569356}, partition_135 = 28978-29157
LG+BU{3.299610}, partition_136 = 29158-29318
LG+BU{1.290879}, partition_137 = 29319-29440
LG+BU{0.493823}, partition_138 = 29441-29646
LG+BU{1.476403}, partition_139 = 29647-29771
LG+BU{1.638676}, partition_140 = 29772-29976
LG+BU{1.392195}, partition_141 = 29977-30169
LG+BU{0.505012}, partition_142 = 30170-30426
LG+BU{0.673876}, partition_143 = 30427-30612
LG+BU{0.858294}, partition_144 = 30613-30798
LG+BU{3.477501}, partition_145 = 30799-31056
LG+BU{1.046152}, partition_146 = 31057-31239
LG+BU{0.523418}, partition_147 = 31240-31444
LG+BU{1.065260}, partition_148 = 31445-31579
LG+BU{0.371916}, partition_149 = 31580-31742
LG+BU{0.573796}, partition_150 = 31743-32015
LG+BU{0.790479}, partition_151 = 32016-32196
LG+BU{0.774318}, partition_152 = 32197-32397
LG+BU{0.629772}, partition_153 = 32398-32513
LG+BU{1.973737}, partition_154 = 32514-32619
LG+BU{4.405533}, partition_155 = 32620-32784
LG+BU{3.378405}, partition_156 = 32785-32887
LG+BU{0.927556}, partition_157 = 32888-32999
LG+BU{3.068665}, partition_158 = 33000-33197
LG+BU{0.450640}, partition_159 = 33198-33307
LG+BU{1.956198}, partition_160 = 33308-33486
LG+BU{2.042377}, partition_161 = 33487-33600
LG+BU{1.741129}, partition_162 = 33601-33709
LG+BU{2.074657}, partition_163 = 33710-33887
LG+BU{1.967321}, partition_164 = 33888-34035
LG+BU{2.777510}, partition_165 = 34036-34229
LG+BU{1.430883}, partition_166 = 34230-34377
LG+BU{1.230700}, partition_167 = 34378-34480
LG+BU{1.940660}, partition_168 = 34481-34578
LG+BU{5.452853}, partition_169 = 34579-34692
LG+BU{0.804893}, partition_170 = 34693-34795
LG+BU{0.957393}, partition_171 = 34796-34900
LG+BU{0.797857}, partition_172 = 34901-35016
