JTT+FC+BU{0.253615}, partition_0 = 1-2417
JTT+FC+BU{0.717397}, partition_1 = 2418-4687
JTT+FC+BU{2.149463}, partition_2 = 4688-5294
LG+FC+BU{1.025573}, partition_3 = 5295-5510
JTT+FC+BU{0.971090}, partition_4 = 5511-6450
WAG+FC+BU{2.378944}, partition_5 = 6451-6839
JTT+FC+BU{0.980426}, partition_6 = 6840-7079
JTT+BU{1.978908}, partition_7 = 7080-7402
MTZOA+FC+BU{0.693717}, partition_8 = 7403-7688
JTT+FC+BU{0.215061}, partition_9 = 7689-8459
JTT-DCMUT+FC+BU{1.072991}, partition_10 = 8460-9032
LG+FC+BU{0.783987}, partition_11 = 9033-9591
JTT+FC+BU{0.547918}, partition_12 = 9592-9873
JTT+FC+BU{0.583455}, partition_13 = 9874-10349
JTT+BU{0.793862}, partition_14 = 10350-10691
JTT+FC+BU{0.588000}, partition_15 = 10692-11437
JTT+FC+BU{2.131786}, partition_16 = 11438-11961
MTZOA+FC+BU{0.391790}, partition_17 = 11962-12181
LG+FC+BU{1.458775}, partition_18 = 12182-12544
LG+FC+BU{1.348412}, partition_19 = 12545-13063
LG+FC+BU{2.154606}, partition_20 = 13064-13314
JTT+FC+BU{0.753173}, partition_21 = 13315-13709
JTT-DCMUT+FC+BU{1.981151}, partition_22 = 13710-14017
JTT+FC+BU{2.269854}, partition_23 = 14018-14358
JTT+FC+BU{0.990533}, partition_24 = 14359-15426
JTT-DCMUT+FC+BU{1.234812}, partition_25 = 15427-16103
JTT-DCMUT+FC+BU{0.275124}, partition_26 = 16104-16631
JTT+FC+BU{0.874788}, partition_27 = 16632-17843
JTT+FC+BU{1.751888}, partition_28 = 17844-18692
JTT-DCMUT+FC+BU{1.125685}, partition_29 = 18693-19452
JTT-DCMUT+FC+BU{1.595084}, partition_30 = 19453-19946
JTT-DCMUT+FC+BU{0.660610}, partition_31 = 19947-20678
JTT-DCMUT+FC+BU{1.558843}, partition_32 = 20679-20958
JTT+FC+BU{0.967062}, partition_33 = 20959-21165
JTT-DCMUT+BU{0.589705}, partition_34 = 21166-21470
JTT+FC+BU{0.564520}, partition_35 = 21471-22388
JTT+FC+BU{1.584966}, partition_36 = 22389-23345
LG+FC+BU{0.527294}, partition_37 = 23346-24342
JTT-DCMUT+FC+BU{1.435263}, partition_38 = 24343-25178
JTT-DCMUT+FC+BU{0.175468}, partition_39 = 25179-25562
LG+FC+BU{1.388548}, partition_40 = 25563-25782
JTT+FC+BU{0.589246}, partition_41 = 25783-25994
JTT-DCMUT+FC+BU{0.684781}, partition_42 = 25995-26543
JTT+FC+BU{0.940774}, partition_43 = 26544-27275
JTT+FC+BU{1.188536}, partition_44 = 27276-28881
JTT+FC+BU{1.655103}, partition_45 = 28882-29273
JTT+FC+BU{0.659035}, partition_46 = 29274-30001
JTT+FC+BU{0.491862}, partition_47 = 30002-30416
JTT+BU{1.072573}, partition_48 = 30417-30688
JTT-DCMUT+FC+BU{2.162249}, partition_49 = 30689-31117
LG+FC+BU{1.924799}, partition_50 = 31118-31575
JTT+BU{0.958980}, partition_51 = 31576-31976
JTT+FC+BU{0.885526}, partition_52 = 31977-32440
JTT+FC+BU{0.193769}, partition_53 = 32441-32834
JTT-DCMUT+FC+BU{0.550548}, partition_54 = 32835-33159
JTT+FC+BU{0.761079}, partition_55 = 33160-33614
JTT+FC+BU{0.382802}, partition_56 = 33615-33997
JTT-DCMUT+FC+BU{2.128011}, partition_57 = 33998-34462
JTT+FC+BU{1.412702}, partition_58 = 34463-34689
JTT+FC+BU{0.584273}, partition_59 = 34690-35865
JTT-DCMUT+FC+BU{0.985311}, partition_60 = 35866-36576
JTT+FC+BU{0.432444}, partition_61 = 36577-37011
LG+FC+BU{0.633237}, partition_62 = 37012-37690
JTT+FC+BU{1.952308}, partition_63 = 37691-37994
JTT+BU{0.806902}, partition_64 = 37995-38497
JTT+FC+BU{1.129691}, partition_65 = 38498-38876
JTT-DCMUT+FC+BU{1.396481}, partition_66 = 38877-39296
LG+FC+BU{1.186197}, partition_67 = 39297-39574
JTT+FC+BU{0.653524}, partition_68 = 39575-39801
JTT+FC+BU{2.293196}, partition_69 = 39802-40330
DAYHOFF+FC+BU{0.183929}, partition_70 = 40331-40641
JTT-DCMUT+FC+BU{1.513847}, partition_71 = 40642-41136
JTT-DCMUT+FC+BU{2.433261}, partition_72 = 41137-41439
JTT+FC+BU{0.611721}, partition_73 = 41440-41813
JTT+FC+BU{0.325467}, partition_74 = 41814-42156
JTT+FC+BU{1.632604}, partition_75 = 42157-43141
WAG+FC+BU{0.688243}, partition_76 = 43142-43595
LG+FC+BU{1.017440}, partition_77 = 43596-43946
LG+FC+BU{1.024721}, partition_78 = 43947-44554
JTT+FC+BU{1.139141}, partition_79 = 44555-45111
JTT+FC+BU{0.489693}, partition_80 = 45112-45336
LG+FC+BU{1.463920}, partition_81 = 45337-45641
JTT+FC+BU{0.820924}, partition_82 = 45642-45967
LG+FC+BU{1.119360}, partition_83 = 45968-46525
JTT+FC+BU{1.103016}, partition_84 = 46526-47264
JTT-DCMUT+FC+BU{0.585737}, partition_85 = 47265-47566
HIVB+FC+BU{1.126674}, partition_86 = 47567-48354
