HIVB+FC+BU{2.044740}, partition_0 = 1-449
JTT-DCMUT+FC+BU{1.069743}, partition_1 = 450-645
JTT-DCMUT+FC+BU{0.108599}, partition_2 = 646-1099
JTT-DCMUT+FC+BU{0.700984}, partition_3 = 1100-1326
JTT+FC+BU{3.566509}, partition_4 = 1327-1522
JTT-DCMUT+FC+BU{1.566219}, partition_5 = 1523-3434
JTT-DCMUT+BU{1.469376}, partition_6 = 3435-3815
JTT+FC+BU{0.607680}, partition_7 = 3816-4217
JTT-DCMUT+FC+BU{0.694109}, partition_8 = 4218-4920
HIVB+FC+BU{1.378740}, partition_9 = 4921-5105
JTT+FC+BU{1.222868}, partition_10 = 5106-5552
JTT+FC+BU{0.349042}, partition_11 = 5553-6422
CPREV+FC+BU{1.126189}, partition_12 = 6423-6887
JTT+FC+BU{0.530797}, partition_13 = 6888-8213
MTART+FC+BU{0.020537}, partition_14 = 8214-8363
JTT+FC+BU{0.897199}, partition_15 = 8364-8731
WAG+FC+BU{1.620466}, partition_16 = 8732-9316
MTZOA+FC+BU{0.589009}, partition_17 = 9317-9608
LG+FC+BU{0.743163}, partition_18 = 9609-13623
JTT-DCMUT+FC+BU{0.213528}, partition_19 = 13624-14069
JTT-DCMUT+FC+BU{0.236538}, partition_20 = 14070-14683
JTT+FC+BU{0.356786}, partition_21 = 14684-14846
JTT-DCMUT+FC+BU{0.446694}, partition_22 = 14847-15142
WAG+FC+BU{1.121326}, partition_23 = 15143-15670
CPREV+FC+BU{0.585929}, partition_24 = 15671-16177
JTT+FC+BU{0.681083}, partition_25 = 16178-16513
JTT-DCMUT+FC+BU{0.508867}, partition_26 = 16514-17412
JTT+FC+BU{0.872426}, partition_27 = 17413-17800
HIVB+FC+BU{0.608116}, partition_28 = 17801-18093
JTT+FC+BU{0.877330}, partition_29 = 18094-18649
CPREV+FC+BU{2.072935}, partition_30 = 18650-19221
DAYHOFF+FC+BU{0.188370}, partition_31 = 19222-19506
JTT-DCMUT+FC+BU{0.814765}, partition_32 = 19507-19772
JTT-DCMUT+FC+BU{0.505718}, partition_33 = 19773-19971
JTT+FC+BU{0.270723}, partition_34 = 19972-20155
HIVB+FC+BU{2.066000}, partition_35 = 20156-20663
HIVB+FC+BU{0.101978}, partition_36 = 20664-20774
JTT-DCMUT+FC+BU{0.530487}, partition_37 = 20775-21016
JTT-DCMUT+FC+BU{0.987760}, partition_38 = 21017-21727
MTZOA+FC+BU{0.360043}, partition_39 = 21728-21814
LG+FC+BU{1.038030}, partition_40 = 21815-22333
JTT-DCMUT+FC+BU{1.338269}, partition_41 = 22334-22539
JTT+FC+BU{0.311731}, partition_42 = 22540-23086
RTREV+FC+BU{0.185114}, partition_43 = 23087-23430
JTT+FC+BU{0.737308}, partition_44 = 23431-24078
JTT+FC+BU{0.281734}, partition_45 = 24079-24634
HIVB+FC+BU{0.811230}, partition_46 = 24635-24925
JTT+FC+BU{0.158243}, partition_47 = 24926-25184
LG+FC+BU{0.937086}, partition_48 = 25185-25940
JTT+FC+BU{1.865408}, partition_49 = 25941-26215
